district,type,lng,lat,trading_area,school_num,similar_shops_num,human_traffic,subway_num,bus_station_num,residence_num,office_building_num,school_num_rank,similar_shops_num_rank,human_traffic_rank,subway_num_rank,bus_station_num_rank,residence_num_rank,office_building_num_rank,total_score
闵行区,4-优质商圈,121.4271324834166,31.01785421011887,老闵行,14,17,10022,22,150,146,69,226.0,220.0,37.5,225.0,197.5,151.0,211.0,1268.0
闵行区,4-优质商圈,121.32167192045796,31.223513351507947,华漕,120,23,15236,19,117,125,130,41.0,214.0,11.0,228.0,214.0,234.0,182.0,1124.0
闵行区,4-优质商圈,121.41237437990867,31.111444208549692,春申,120,76,13070,59,198,146,133,41.0,132.5,22.0,196.0,164.0,151.0,163.5,870.0
闵行区,4-优质商圈,121.37323368848709,31.185905299374845,龙柏,29,44,13079,63,242,145,128,190.0,178.0,20.0,187.5,114.5,178.0,192.0,1060.0
闵行区,4-优质商圈,121.4729552140626,31.05140874732584,吴泾,11,13,12287,140,88,146,44,239.5,232.5,25.0,47.5,224.0,151.0,220.0,1139.5
闵行区,4-优质商圈,121.35883573139762,31.162632089462257,七宝,34,72,15982,53,203,147,139,179.5,135.0,10.0,203.0,158.0,110.5,83.5,879.5
闵行区,4-优质商圈,121.40614701264131,31.1379045699094,南方商城,60,47,18036,80,280,150,129,133.0,173.0,6.0,165.5,39.0,11.5,188.5,716.5
闵行区,4-优质商圈,121.38808559659917,31.11445091116218,莘庄,21,80,7410,75,231,148,130,205.0,63.0,60.0,175.5,123.0,71.5,182.0,880.0
闵行区,4-优质商圈,121.40424150053349,31.076165798424647,颛桥,120,29,18036,13,149,144,129,41.0,207.0,6.0,238.0,199.0,192.5,188.5,1072.0
杨浦区,4-优质商圈,121.5097807684356,31.302659966981942,复旦大学,120,80,1081,95,280,145,134,41.0,63.0,212.5,146.5,39.0,178.0,153.5,833.5
杨浦区,4-优质商圈,121.54093669503487,31.293868423280532,黄兴公园,50,78,1041,80,215,149,136,151.5,127.0,214.0,165.5,139.5,38.5,130.0,966.0
杨浦区,4-优质商圈,121.53036199565165,31.28353936946367,控江路,120,80,1081,107,261,149,142,41.0,63.0,212.5,128.0,97.5,38.5,42.5,623.0
杨浦区,4-优质商圈,121.51801584691151,31.306362958717653,五角场,120,80,870,81,265,145,131,41.0,63.0,217.0,161.5,92.5,178.0,177.0,930.0
